IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad,Maniobra,Magnitud
5,273,894.452,4.58055,57.1333,57.1333,0.991341,1,52.7398
5,274,894.452,4.58055,58.8,58.8,0.998138,1,54.3989
5,275,894.452,4.58055,49.2884,49.2884,1,1,44.9306
5,276,894.452,4.58055,44.0094,44.0094,1,1,39.6756
5,277,894.452,4.58055,41.4865,41.4865,1,1,37.1642
5,278,894.452,4.58055,37.3644,37.3644,1,1,33.0608
5,279,894.452,4.58055,38.1232,38.1232,0.999152,1,33.8162
5,280,894.452,4.58055,37.9085,37.9085,1,1,33.6024
5,281,894.452,4.58055,45.7362,45.7362,0.991287,1,41.3945
5,282,894.452,4.58055,39.2913,39.2913,1,1,34.979
5,283,894.452,4.58055,30.4348,30.4348,1,1,26.1628
5,284,894.452,4.58055,26.8985,26.8985,1,1,22.6426
5,285,894.452,4.58055,24.7028,24.7028,1,1,20.4569
5,286,894.452,4.58055,23.9399,23.9399,1,1,19.6974
5,287,894.452,4.58055,27.4353,27.4353,0.9961,1,23.177
5,288,894.452,4.58055,34.5347,34.5347,0.992094,1,30.2441
5,289,894.452,4.58055,35.534,35.534,0.998883,1,31.2388
5,290,894.452,4.58055,44.6741,44.6741,0.989833,1,40.3373
5,291,894.452,4.58055,39.5907,39.5907,1,1,35.277
5,292,894.452,4.58055,46.7961,46.7961,0.991977,1,42.4496
5,293,894.452,4.58055,50.9848,50.9848,0.995328,1,46.6193
5,294,894.452,4.58055,54.4295,54.4295,0.996156,1,50.0483
5,295,894.452,4.58055,63.2497,63.2497,0.990187,1,58.8284
5,296,894.452,4.58055,70.7827,70.7827,0.991614,1,66.327
5,297,894.452,4.58055,64.5566,64.5566,1,1,60.1293
5,298,894.452,4.58055,56.359,56.359,1,1,51.969
5,299,894.452,4.58055,59.1897,59.1897,0.99684,1,54.7868
5,300,894.452,4.58055,59.2441,59.2441,0.999939,1,54.8409
5,301,894.452,4.58055,61.1357,61.1357,0.997887,1,56.724
