IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
2262,11271.0000,98.4806,759.8845,8.0000,11554.8779,879.1740,-0.0000,8.0000,0,0,-1,0.0000,11554.8779,879.1740,-0.0000,8.0000,59
2263,11276.0000,949.0123,947.5237,8.0000,11544.8193,-0.0000,0.9740,8.0000,0,0,-1,0.0000,11544.8193,-0.0000,0.9740,8.0000,60
2264,11282.0000,488.2888,670.2659,8.0000,11426.2129,313.4832,-0.0000,8.0000,0,0,-1,0.0000,11426.2129,313.4832,-0.0000,8.0000,58
2265,11288.0000,835.9974,812.2392,15.0000,11590.0098,361.7770,-0.0000,15.0000,0,0,-1,0.0000,11590.0098,361.7770,-0.0000,15.0000,57
2266,11293.0000,0.0000,838.1442,14.3001,11509.9668,633.7530,-0.0000,14.3001,0,0,-1,0.0000,11509.9668,633.7530,-0.0000,14.3001,58
2267,11298.0000,1000.0000,630.3044,10.1818,11636.0029,6.6125,-0.0000,10.1818,0,0,-1,0.0000,11636.0029,6.6125,-0.0000,10.1818,59
2268,11302.0000,886.8688,0.0000,14.8510,11660.6904,48.5994,1000.0000,14.8510,0,0,-1,0.0000,11660.6904,48.5994,1000.0000,14.8510,59
2269,11308.0000,103.1730,1000.0000,14.2713,11668.6416,1000.0000,90.5358,14.2713,0,0,-1,0.0000,11668.6416,1000.0000,90.5358,14.2713,59
2270,11312.0000,624.1900,125.7368,15.0000,11587.9229,353.1490,1000.0001,15.0000,0,0,-1,0.0000,11587.9229,353.1490,1000.0001,15.0000,59
2271,11318.0000,1000.0000,483.7354,10.0104,11550.7207,-0.0000,469.1679,10.0104,0,0,-1,0.0000,11550.7207,-0.0000,469.1679,10.0104,58
2272,11323.0000,0.0000,502.7146,8.4802,11545.8193,999.9999,523.8253,8.4802,0,0,-1,0.0000,11545.8193,999.9999,523.8253,8.4802,58
2273,11329.0000,0.0000,413.3634,14.3080,11612.8135,1000.0000,317.0240,14.3080,0,0,-1,0.0000,11612.8135,1000.0000,317.0240,14.3080,59
2274,11333.0000,882.1235,767.4896,15.0000,11605.4570,-0.0000,198.0409,15.0000,0,0,-1,0.0000,11605.4570,-0.0000,198.0409,15.0000,59
2275,11338.0000,519.6653,537.6755,8.0000,11512.1299,-0.0000,61.5856,8.0000,0,0,-1,0.0000,11512.1299,-0.0000,61.5856,8.0000,60
2276,11344.0000,956.1416,760.9186,15.0000,11620.2959,-0.0000,500.0427,15.0000,0,0,-1,0.0000,11620.2959,-0.0000,500.0427,15.0000,61
2277,11348.0000,879.1319,0.0000,11.4997,11694.5098,399.4788,1000.0000,11.4997,0,0,-1,0.0000,11694.5098,399.4788,1000.0000,11.4997,62
2278,11353.0000,1000.0000,688.7912,9.1930,11682.5361,-0.0000,655.9855,9.1930,0,0,-1,0.0000,11682.5361,-0.0000,655.9855,9.1930,63
2279,11358.0000,373.8747,972.5586,15.0000,11563.1895,347.8448,-0.0000,15.0000,0,0,-1,0.0000,11563.1895,347.8448,-0.0000,15.0000,62
2280,11364.0000,0.0000,108.7623,10.2137,11709.9854,999.9999,579.7928,10.2137,0,0,-1,0.0000,11709.9854,999.9999,579.7928,10.2137,61
2281,11370.0000,833.2227,391.6635,8.0000,11554.6494,-0.0000,784.5586,8.0000,0,0,-1,0.0000,11554.6494,-0.0000,784.5586,8.0000,58
2282,11374.0000,582.9330,1000.0000,9.0308,11689.0000,220.0173,-0.0000,9.0308,0,0,-1,0.0000,11689.0000,220.0173,-0.0000,9.0308,58
2283,11380.0000,828.9855,0.0000,10.8459,11620.6416,400.3564,1000.0000,10.8459,0,0,-1,0.0000,11620.6416,400.3564,1000.0000,10.8459,59
2284,11384.0000,160.6462,972.5142,8.0000,11752.6699,1000.0000,218.9643,8.0000,0,0,-1,0.0000,11752.6699,1000.0000,218.9643,8.0000,60
2285,11389.0000,469.0107,0.0000,10.1878,11608.0449,446.1380,1000.0000,10.1878,0,0,-1,0.0000,11608.0449,446.1380,1000.0000,10.1878,61
2286,11395.0000,0.0000,892.1337,9.5342,11645.2051,1000.0001,544.9218,9.5342,0,0,-1,0.0000,11645.2051,1000.0001,544.9218,9.5342,60
2287,11401.0000,44.8293,193.7695,8.0000,11703.6465,634.7297,1000.0000,8.0000,0,0,-1,0.0000,11703.6465,634.7297,1000.0000,8.0000,58
2288,11405.0000,0.0000,196.4863,12.6168,11730.9414,767.3003,1000.0000,12.6168,0,0,-1,0.0000,11730.9414,767.3003,1000.0000,12.6168,57
2289,11409.0000,1000.0000,573.8788,9.4118,11620.0127,-0.0000,430.8737,9.4118,0,0,-1,0.0000,11620.0127,-0.0000,430.8737,9.4118,56
2290,11414.0000,593.2300,1000.0000,8.2891,11746.1895,187.0084,-0.0000,8.2891,0,0,-1,0.0000,11746.1895,187.0084,-0.0000,8.2891,56
2291,11418.0000,720.5703,0.0000,9.6981,11679.4746,514.5504,1000.0001,9.6981,0,0,-1,0.0000,11679.4746,514.5504,1000.0001,9.6981,56
