IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
658,6170.0000,192.8719,1000.0000,13.9385,6463.8042,1000.0000,121.7469,13.9385,0,0,-1,0.0000,6463.8042,1000.0000,121.7469,13.9385,31
659,6177.0000,899.8771,1000.0000,12.9238,6486.0869,288.8304,-0.0000,12.9238,0,0,-1,0.0000,6486.0869,288.8304,-0.0000,12.9238,30
660,6183.0000,512.4927,9.0961,15.0000,6467.0347,499.1436,1000.0000,15.0000,0,0,-1,0.0000,6467.0347,499.1436,1000.0000,15.0000,29
661,6196.0000,184.9201,0.0000,12.5949,6425.6606,1000.0000,755.0076,12.5949,0,0,-1,0.0000,6425.6606,1000.0000,755.0076,12.5949,28
662,6210.0000,563.9625,552.5630,15.0000,6382.2729,10.8507,-0.0000,15.0000,0,0,-1,0.0000,6382.2729,10.8507,-0.0000,15.0000,28
663,6221.0000,0.0000,488.5031,13.1335,6438.5488,1000.0000,347.4885,13.1335,0,0,-1,0.0000,6438.5488,1000.0000,347.4885,13.1335,27
664,6232.0000,466.1001,0.0000,14.5337,6491.2036,515.6267,1000.0000,14.5337,0,0,-1,0.0000,6491.2036,515.6267,1000.0000,14.5337,24
665,6240.0000,1000.0000,12.7567,10.3046,6525.5801,-0.0000,594.2640,10.3046,0,0,-1,0.0000,6525.5801,-0.0000,594.2640,10.3046,24
666,6253.0000,551.9411,0.0000,8.7287,6527.0903,391.3525,1000.0000,8.7287,0,0,-1,0.0000,6527.0903,391.3525,1000.0000,8.7287,25
667,6262.0000,80.4618,235.7915,15.0000,6513.1538,929.2936,999.9999,15.0000,0,0,-1,0.0000,6513.1538,929.2936,999.9999,15.0000,24
668,6269.0000,408.7600,649.5505,15.0000,6454.0156,699.2032,-0.0000,15.0000,0,0,-1,0.0000,6454.0156,699.2032,-0.0000,15.0000,25
669,6278.0000,956.6695,119.4442,15.0000,6533.1362,443.5460,1000.0001,15.0000,0,0,-1,0.0000,6533.1362,443.5460,1000.0001,15.0000,25
670,6290.0000,829.3896,1000.0000,11.0499,6599.1758,481.5616,-0.0000,11.0499,0,0,-1,0.0000,6599.1758,481.5616,-0.0000,11.0499,26
